Time,Bacardi - Dance Floor 15 TVC,Bacardi - Dance Floor 15 TVC,Bacardi - Dance Floor 15 TVC,Bacardi - Dance Floor 15 TVC,Bacardi - Dance Floor 15 TVC,Bacardi - Dance Floor 15 TVC,Bacardi - Dance Floor 15 TVC,Bacardi - Dance Floor 15 TVC,Bacardi - Dance Floor 15 TVC,Bacardi - Dance Floor 15 TVC,Bacardi - Dance Floor 15 TVC,Bacardi - Dance Floor 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
13.6,0.3244,0.5527,0.6447,0.6013,0.4636,0.5325,0.6274,0.6686,0.648,0.6612,0.587,0.6241
13.7,0.2942,0.5642,0.655,0.6029,0.4746,0.5388,0.626,0.6691,0.6475,0.676,0.5879,0.6319
13.8,0.2618,0.5734,0.6622,0.6009,0.4843,0.5426,0.6235,0.6676,0.6455,0.689,0.5884,0.6387
13.9,0.2279,0.5798,0.6654,0.5956,0.4923,0.5439,0.62,0.664,0.642,0.7001,0.5884,0.6443
14,0.1929,0.5833,0.6642,0.5879,0.4981,0.543,0.6158,0.6581,0.637,0.71,0.5881,0.6491
14.1,0.1574,0.584,0.6586,0.5789,0.502,0.5405,0.6112,0.6498,0.6305,0.7193,0.5877,0.6535
14.2,0.1221,0.5825,0.6493,0.5698,0.5044,0.5371,0.6065,0.6396,0.6231,0.7282,0.5874,0.6578
14.3,0.0868,0.5791,0.637,0.5615,0.5063,0.5339,0.6024,0.6282,0.6153,0.7366,0.5873,0.662
14.4,0.0516,0.5744,0.6224,0.5543,0.5088,0.5315,0.5994,0.6166,0.608,0.7445,0.5879,0.6662
14.5,0.0179,0.5685,0.6063,0.5482,0.5123,0.5302,0.5981,0.6057,0.6019,0.7521,0.5897,0.6709
14.6,-0.0126,0.5613,0.5895,0.5432,0.5166,0.5299,0.5982,0.596,0.5971,0.7593,0.5928,0.6761
14.7,-0.0382,0.5528,0.5724,0.5391,0.5213,0.5302,0.5992,0.5877,0.5934,0.7654,0.5969,0.6812
14.8,-0.0582,0.5433,0.556,0.5359,0.5263,0.5311,0.6011,0.5811,0.5911,0.7699,0.6012,0.6855
14.9,-0.0726,0.5332,0.5409,0.5342,0.5319,0.533,0.604,0.5769,0.5904,0.772,0.6052,0.6886
