Time,Lotto Powerball - Imagine Lost 30 TVC,Lotto Powerball - Imagine Lost 30 TVC,Lotto Powerball - Imagine Lost 30 TVC,Lotto Powerball - Imagine Lost 30 TVC,Lotto Powerball - Imagine Lost 30 TVC,Lotto Powerball - Imagine Lost 30 TVC,Lotto Powerball - Imagine Lost 30 TVC,Lotto Powerball - Imagine Lost 30 TVC,Lotto Powerball - Imagine Lost 30 TVC,Lotto Powerball - Imagine Lost 30 TVC,Lotto Powerball - Imagine Lost 30 TVC,Lotto Powerball - Imagine Lost 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
12.5,-0.1042,0.4838,0.6064,0.3371,0.468,0.4025,0.5504,0.5406,0.5455,0.6597,0.6249,0.6423
12.6,-0.1445,0.4776,0.6074,0.3145,0.4677,0.3911,0.5398,0.5501,0.545,0.661,0.626,0.6435
12.7,-0.1827,0.4716,0.6082,0.2932,0.4666,0.3799,0.5307,0.5576,0.5442,0.6634,0.6267,0.6451
12.8,-0.2177,0.4661,0.6089,0.2734,0.4645,0.3689,0.5232,0.5628,0.543,0.6665,0.6268,0.6467
12.9,-0.2476,0.4619,0.6091,0.2558,0.4615,0.3587,0.5173,0.5657,0.5415,0.6701,0.6265,0.6483
13,-0.2706,0.4601,0.6087,0.2414,0.4584,0.3499,0.513,0.5666,0.5398,0.6741,0.6257,0.6499
13.1,-0.2859,0.4609,0.6074,0.2312,0.4553,0.3433,0.5099,0.5654,0.5376,0.6783,0.6244,0.6514
13.2,-0.2941,0.4633,0.6056,0.2249,0.4521,0.3385,0.5074,0.5619,0.5347,0.6819,0.6228,0.6523
13.3,-0.2959,0.4663,0.6036,0.2215,0.448,0.3347,0.5048,0.5565,0.5306,0.6841,0.6209,0.6525
13.4,-0.2903,0.4692,0.6022,0.2203,0.4427,0.3315,0.5017,0.5494,0.5255,0.6846,0.6187,0.6517
13.5,-0.2758,0.4723,0.6017,0.2217,0.4368,0.3293,0.4985,0.5412,0.5199,0.6837,0.6167,0.6502
13.6,-0.2519,0.4758,0.6029,0.2264,0.4309,0.3286,0.4961,0.5328,0.5144,0.6818,0.6154,0.6486
13.7,-0.2195,0.4796,0.6061,0.2342,0.4248,0.3295,0.4949,0.5249,0.5099,0.6792,0.6153,0.6472
13.8,-0.1809,0.4835,0.6112,0.2446,0.4182,0.3314,0.495,0.5182,0.5066,0.6753,0.6159,0.6456
13.9,-0.1388,0.4874,0.618,0.2569,0.4109,0.3339,0.4963,0.5135,0.5049,0.67,0.6173,0.6436
14,-0.095,0.492,0.626,0.2706,0.4034,0.337,0.498,0.5111,0.5046,0.6634,0.6191,0.6413
