Time,KFC - Buy One Get One FREE Original Recipe Burger Combo 15 TVC,KFC - Buy One Get One FREE Original Recipe Burger Combo 15 TVC,KFC - Buy One Get One FREE Original Recipe Burger Combo 15 TVC,KFC - Buy One Get One FREE Original Recipe Burger Combo 15 TVC,KFC - Buy One Get One FREE Original Recipe Burger Combo 15 TVC,KFC - Buy One Get One FREE Original Recipe Burger Combo 15 TVC,KFC - Buy One Get One FREE Original Recipe Burger Combo 15 TVC,KFC - Buy One Get One FREE Original Recipe Burger Combo 15 TVC,KFC - Buy One Get One FREE Original Recipe Burger Combo 15 TVC,KFC - Buy One Get One FREE Original Recipe Burger Combo 15 TVC,KFC - Buy One Get One FREE Original Recipe Burger Combo 15 TVC,KFC - Buy One Get One FREE Original Recipe Burger Combo 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
12.3,-0.367,0.6613,0.2396,0.7342,0.8215,0.7778,0.4468,0.4736,0.4602,0.1928,0.418,0.3054
12.4,-0.405,0.6626,0.2282,0.7429,0.86,0.8015,0.4476,0.4779,0.4628,0.1998,0.4171,0.3085
12.5,-0.4368,0.6632,0.2166,0.7488,0.8923,0.8206,0.445,0.4807,0.4629,0.2037,0.4138,0.3088
12.6,-0.4615,0.6632,0.2054,0.7529,0.9181,0.8355,0.4395,0.4822,0.4608,0.204,0.4082,0.3061
12.7,-0.4787,0.6632,0.1948,0.7564,0.9375,0.8469,0.4316,0.4823,0.457,0.2009,0.4005,0.3007
12.8,-0.488,0.6639,0.1845,0.7602,0.9511,0.8556,0.4217,0.4806,0.4512,0.1952,0.3908,0.293
12.9,-0.4894,0.665,0.1743,0.7643,0.9592,0.8618,0.4096,0.4763,0.4429,0.1875,0.3797,0.2836
13,-0.4833,0.6659,0.1641,0.768,0.9616,0.8648,0.3952,0.4691,0.4322,0.1787,0.3681,0.2734
13.1,-0.4699,0.6657,0.1545,0.7702,0.9579,0.8641,0.3795,0.4594,0.4194,0.1694,0.3572,0.2633
13.2,-0.4502,0.664,0.1461,0.7698,0.9481,0.859,0.3632,0.4482,0.4057,0.1603,0.3476,0.254
13.3,-0.4264,0.66,0.1398,0.766,0.9327,0.8493,0.3472,0.4366,0.3919,0.1513,0.3397,0.2455
13.4,-0.4007,0.6537,0.1359,0.758,0.9125,0.8353,0.3317,0.4259,0.3788,0.1422,0.3335,0.2378
13.5,-0.3747,0.6447,0.135,0.7451,0.8884,0.8168,0.3166,0.417,0.3668,0.1331,0.3293,0.2312
13.6,-0.3495,0.6329,0.1378,0.7273,0.8608,0.7941,0.3021,0.4105,0.3563,0.1244,0.3276,0.226
