Time,Samsung Fridge 15s TVC,Samsung Fridge 15s TVC,Samsung Fridge 15s TVC,Samsung Fridge 15s TVC,Samsung Fridge 15s TVC,Samsung Fridge 15s TVC,Samsung Fridge 15s TVC,Samsung Fridge 15s TVC,Samsung Fridge 15s TVC,Samsung Fridge 15s TVC,Samsung Fridge 15s TVC,Samsung Fridge 15s TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
13.6,-0.1143,0.8023,0.7727,0.7291,0.8917,0.8104,0.7224,0.8966,0.8095,0.6044,0.4879,0.5462
13.7,-0.1499,0.8162,0.7839,0.7254,0.9081,0.8167,0.7344,0.9156,0.825,0.6123,0.4901,0.5512
13.8,-0.1814,0.8283,0.7941,0.7219,0.9199,0.8209,0.7463,0.9324,0.8394,0.6164,0.4944,0.5554
13.9,-0.2088,0.8386,0.8031,0.7189,0.9278,0.8233,0.7581,0.9469,0.8525,0.6173,0.5013,0.5593
14,-0.2318,0.8468,0.8106,0.7157,0.9316,0.8237,0.77,0.959,0.8645,0.6155,0.5106,0.5631
14.1,-0.2507,0.8525,0.8163,0.7121,0.9316,0.8218,0.782,0.9687,0.8753,0.6117,0.522,0.5668
14.2,-0.2664,0.856,0.8203,0.7079,0.9281,0.818,0.7941,0.976,0.885,0.6064,0.535,0.5707
14.3,-0.2799,0.8574,0.8227,0.7035,0.9221,0.8128,0.8067,0.9811,0.8939,0.6004,0.5495,0.575
14.4,-0.2918,0.8568,0.824,0.6992,0.9142,0.8067,0.8201,0.9841,0.9021,0.5946,0.5659,0.5803
14.5,-0.3024,0.8542,0.8241,0.6954,0.9052,0.8003,0.8346,0.9855,0.9101,0.5898,0.5845,0.5872
14.6,-0.3117,0.8494,0.823,0.6924,0.8955,0.794,0.8501,0.9856,0.9179,0.5865,0.6059,0.5962
14.7,-0.3201,0.8427,0.8203,0.6903,0.8853,0.7878,0.8658,0.9844,0.9251,0.5851,0.6301,0.6076
14.8,-0.3276,0.8348,0.8159,0.6892,0.875,0.7821,0.8806,0.9814,0.931,0.5856,0.6567,0.6211
14.9,-0.3343,0.8264,0.8098,0.6893,0.8654,0.7773,0.8937,0.9766,0.9351,0.5877,0.6848,0.6362
