Time,Woolworths - Helping you get your woolies worth 30 TVC,Woolworths - Helping you get your woolies worth 30 TVC,Woolworths - Helping you get your woolies worth 30 TVC,Woolworths - Helping you get your woolies worth 30 TVC,Woolworths - Helping you get your woolies worth 30 TVC,Woolworths - Helping you get your woolies worth 30 TVC,Woolworths - Helping you get your woolies worth 30 TVC,Woolworths - Helping you get your woolies worth 30 TVC,Woolworths - Helping you get your woolies worth 30 TVC,Woolworths - Helping you get your woolies worth 30 TVC,Woolworths - Helping you get your woolies worth 30 TVC,Woolworths - Helping you get your woolies worth 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
14.5,-0.0878,0.7119,0.4202,0.7383,0.5247,0.6315,0.5762,0.4583,0.5172,0.1934,0.2441,0.2188
14.6,-0.0819,0.7133,0.4244,0.7538,0.5475,0.6506,0.5668,0.4601,0.5134,0.1813,0.2508,0.216
14.7,-0.0779,0.7153,0.4266,0.7685,0.5715,0.67,0.552,0.4577,0.5048,0.1696,0.2593,0.2144
14.8,-0.0737,0.7176,0.4263,0.7821,0.5949,0.6885,0.5324,0.4503,0.4913,0.1588,0.2694,0.2141
14.9,-0.0682,0.7193,0.4229,0.7946,0.6158,0.7052,0.509,0.4373,0.4732,0.1491,0.2806,0.2148
15,-0.0606,0.7198,0.4158,0.8062,0.6327,0.7195,0.4833,0.4186,0.4509,0.1403,0.2919,0.2161
15.1,-0.05,0.7188,0.4051,0.817,0.6452,0.7311,0.4565,0.395,0.4257,0.1328,0.3025,0.2176
15.2,-0.0363,0.7157,0.3915,0.8269,0.6533,0.7401,0.4301,0.3682,0.3991,0.127,0.3118,0.2194
15.3,-0.0214,0.7106,0.3764,0.8357,0.6579,0.7468,0.4056,0.3402,0.3729,0.1229,0.3194,0.2211
15.4,-0.0081,0.7041,0.3606,0.8438,0.6596,0.7517,0.3844,0.3129,0.3487,0.12,0.3249,0.2224
15.5,0.0014,0.6968,0.3456,0.8515,0.6595,0.7555,0.3672,0.288,0.3276,0.1184,0.3282,0.2233
15.6,0.0064,0.6892,0.3322,0.8593,0.6584,0.7589,0.3547,0.267,0.3109,0.1181,0.3294,0.2237
15.7,0.0068,0.6814,0.3211,0.8668,0.6571,0.7619,0.3472,0.2512,0.2992,0.1188,0.3284,0.2236
15.8,0.0036,0.6732,0.312,0.8731,0.6555,0.7643,0.3447,0.2406,0.2927,0.1205,0.3253,0.2229
15.9,-0.0007,0.6648,0.304,0.877,0.6534,0.7652,0.3466,0.2348,0.2907,0.1228,0.3198,0.2213
16,-0.0039,0.6567,0.2965,0.8783,0.6511,0.7647,0.3525,0.2332,0.2929,0.1255,0.3118,0.2186
16.1,-0.0049,0.6494,0.2899,0.8769,0.6489,0.7629,0.3622,0.2362,0.2992,0.1283,0.3022,0.2153
16.2,-0.0039,0.6429,0.2847,0.8726,0.6467,0.7597,0.3757,0.2439,0.3098,0.1318,0.292,0.2119
16.3,-0.0008,0.6374,0.2813,0.8646,0.6446,0.7546,0.3928,0.2569,0.3249,0.1362,0.282,0.2091
16.4,0.0055,0.6332,0.2799,0.8529,0.6429,0.7479,0.4135,0.2756,0.3445,0.1417,0.273,0.2073
