Time,GWM Australia Tank 300 - See you out there 30 TVC,GWM Australia Tank 300 - See you out there 30 TVC,GWM Australia Tank 300 - See you out there 30 TVC,GWM Australia Tank 300 - See you out there 30 TVC,GWM Australia Tank 300 - See you out there 30 TVC,GWM Australia Tank 300 - See you out there 30 TVC,GWM Australia Tank 300 - See you out there 30 TVC,GWM Australia Tank 300 - See you out there 30 TVC,GWM Australia Tank 300 - See you out there 30 TVC,GWM Australia Tank 300 - See you out there 30 TVC,GWM Australia Tank 300 - See you out there 30 TVC,GWM Australia Tank 300 - See you out there 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
13.9,-0.1556,0.6403,0.6353,0.6122,0.9394,0.7758,0.6088,0.5723,0.5906,0.4481,0.3937,0.4209
14,-0.1947,0.6442,0.6364,0.6191,0.9535,0.7863,0.6215,0.5741,0.5978,0.4458,0.3985,0.4222
14.1,-0.2357,0.6479,0.6359,0.6284,0.9633,0.7959,0.634,0.5746,0.6043,0.4464,0.4031,0.4247
14.2,-0.2771,0.651,0.634,0.6392,0.9668,0.803,0.6457,0.5733,0.6095,0.4493,0.4063,0.4278
14.3,-0.3171,0.6531,0.6298,0.6506,0.9626,0.8066,0.6564,0.5695,0.6129,0.4538,0.4078,0.4308
14.4,-0.3535,0.6544,0.6224,0.6619,0.9506,0.8063,0.6654,0.5625,0.6139,0.4595,0.4071,0.4333
14.5,-0.3842,0.6549,0.6117,0.6724,0.9311,0.8018,0.6722,0.5514,0.6118,0.4661,0.4043,0.4352
14.6,-0.4068,0.6546,0.5982,0.681,0.9049,0.793,0.6762,0.5357,0.606,0.4739,0.3996,0.4368
14.7,-0.4206,0.6529,0.5831,0.6865,0.8728,0.7797,0.6775,0.5161,0.5968,0.4831,0.3933,0.4382
14.8,-0.4258,0.6498,0.5672,0.6879,0.8362,0.762,0.6766,0.4932,0.5849,0.4935,0.3854,0.4394
14.9,-0.4216,0.6452,0.5507,0.6852,0.7968,0.741,0.6735,0.4678,0.5706,0.5048,0.3757,0.4403
15,-0.4071,0.6393,0.5335,0.6794,0.7563,0.7178,0.6682,0.4402,0.5542,0.5168,0.3638,0.4403
15.1,-0.3814,0.6326,0.5155,0.6715,0.7158,0.6936,0.6608,0.4115,0.5362,0.5292,0.3499,0.4395
15.2,-0.3452,0.6252,0.4971,0.6619,0.6766,0.6693,0.6517,0.3835,0.5176,0.5418,0.3344,0.4381
15.3,-0.3016,0.6168,0.4789,0.6511,0.6402,0.6456,0.6414,0.3578,0.4996,0.5539,0.3183,0.4361
15.4,-0.2551,0.6067,0.4611,0.6392,0.6078,0.6235,0.6305,0.3351,0.4828,0.5647,0.3026,0.4336
15.5,-0.2096,0.5944,0.4435,0.6269,0.5797,0.6033,0.6188,0.3152,0.467,0.5735,0.2878,0.4307
15.6,-0.1672,0.5794,0.4262,0.6148,0.5558,0.5853,0.6061,0.2976,0.4518,0.5798,0.2743,0.4271
15.7,-0.1297,0.5616,0.4093,0.6028,0.535,0.5689,0.5924,0.282,0.4372,0.583,0.2619,0.4224
15.8,-0.1,0.5406,0.3931,0.5904,0.5162,0.5533,0.5779,0.2684,0.4232,0.5826,0.2504,0.4165
15.9,-0.0807,0.516,0.3777,0.5767,0.4989,0.5378,0.5629,0.2571,0.41,0.5787,0.2398,0.4093
16,-0.0728,0.4876,0.363,0.5613,0.4833,0.5223,0.548,0.248,0.398,0.5723,0.2303,0.4013
16.1,-0.0736,0.4555,0.3488,0.5441,0.4696,0.5068,0.5333,0.2411,0.3872,0.5644,0.2224,0.3934
16.2,-0.078,0.4208,0.3351,0.5253,0.4577,0.4915,0.5188,0.2365,0.3777,0.5563,0.2167,0.3865
16.3,-0.0811,0.3849,0.3223,0.5052,0.4474,0.4763,0.5052,0.2348,0.37,0.5485,0.2132,0.3808
16.4,-0.0801,0.3498,0.3108,0.4837,0.4387,0.4612,0.4928,0.2367,0.3647,0.541,0.212,0.3765
16.5,-0.0738,0.3168,0.3012,0.4609,0.4324,0.4467,0.4825,0.2434,0.3629,0.5336,0.2125,0.373
16.6,-0.0613,0.2871,0.2939,0.4374,0.4291,0.4333,0.4748,0.2561,0.3655,0.5257,0.2142,0.37
16.7,-0.0417,0.2616,0.2892,0.4143,0.4297,0.422,0.47,0.2755,0.3728,0.5176,0.2164,0.367
16.8,-0.015,0.2405,0.2874,0.3929,0.4348,0.4138,0.4684,0.3013,0.3849,0.5092,0.2184,0.3638
16.9,0.0175,0.224,0.2891,0.3734,0.4443,0.4088,0.4701,0.3329,0.4015,0.5007,0.2198,0.3603
17,0.0535,0.2112,0.2952,0.3552,0.4571,0.4062,0.4748,0.3689,0.4218,0.4925,0.2208,0.3566
17.1,0.091,0.2007,0.3065,0.3373,0.4716,0.4044,0.4817,0.4077,0.4447,0.4845,0.2216,0.353
17.2,0.1285,0.1913,0.3232,0.3186,0.4858,0.4022,0.4902,0.4476,0.4689,0.4767,0.222,0.3494
17.3,0.1648,0.1823,0.3448,0.2988,0.4983,0.3986,0.4998,0.4872,0.4935,0.4689,0.2216,0.3453
17.4,0.1985,0.1738,0.3699,0.2783,0.5086,0.3935,0.51,0.5255,0.5177,0.4609,0.2204,0.3407
17.5,0.2272,0.166,0.3974,0.2575,0.517,0.3872,0.5205,0.5611,0.5408,0.4529,0.2193,0.3361
17.6,0.2489,0.1594,0.4262,0.2365,0.5236,0.38,0.5308,0.5929,0.5618,0.4455,0.2192,0.3323
17.7,0.2628,0.1533,0.4553,0.2154,0.5277,0.3716,0.5401,0.6197,0.5799,0.4392,0.2206,0.3299
17.8,0.2688,0.1472,0.4832,0.1944,0.5289,0.3617,0.5476,0.6408,0.5942,0.4344,0.2234,0.3289
17.9,0.2669,0.1408,0.5091,0.1743,0.527,0.3506,0.5523,0.6562,0.6042,0.4313,0.2272,0.3292
18,0.2569,0.134,0.5321,0.1557,0.5227,0.3392,0.5536,0.6668,0.6102,0.4296,0.2317,0.3306
18.1,0.2375,0.1275,0.5514,0.1394,0.5167,0.3281,0.5516,0.6739,0.6128,0.4292,0.2369,0.333
