Time,Woolworths Paris 2024 Olympics 30 TVC,Woolworths Paris 2024 Olympics 30 TVC,Woolworths Paris 2024 Olympics 30 TVC,Woolworths Paris 2024 Olympics 30 TVC,Woolworths Paris 2024 Olympics 30 TVC,Woolworths Paris 2024 Olympics 30 TVC,Woolworths Paris 2024 Olympics 30 TVC,Woolworths Paris 2024 Olympics 30 TVC,Woolworths Paris 2024 Olympics 30 TVC,Woolworths Paris 2024 Olympics 30 TVC,Woolworths Paris 2024 Olympics 30 TVC,Woolworths Paris 2024 Olympics 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
17.1,-0.3931,0.582,0.2622,0.5288,0.5631,0.5459,0.4049,0.4956,0.4502,0.5478,0.346,0.4469
17.2,-0.395,0.6017,0.2888,0.549,0.5759,0.5625,0.4226,0.5114,0.467,0.5476,0.3569,0.4522
17.3,-0.3949,0.6234,0.3216,0.5729,0.5898,0.5813,0.4393,0.5305,0.4849,0.5434,0.3684,0.4559
17.4,-0.3928,0.6469,0.3589,0.5993,0.604,0.6017,0.4547,0.5518,0.5033,0.5351,0.3792,0.4571
17.5,-0.3888,0.6719,0.3985,0.6272,0.6184,0.6228,0.4681,0.5741,0.5211,0.5234,0.3885,0.456
17.6,-0.3832,0.6974,0.4387,0.655,0.6325,0.6438,0.4787,0.5961,0.5374,0.5088,0.3962,0.4525
17.7,-0.3765,0.7226,0.4778,0.6814,0.6457,0.6636,0.4858,0.6167,0.5513,0.4919,0.4014,0.4466
17.8,-0.3686,0.7468,0.5143,0.7049,0.6573,0.6811,0.4893,0.6347,0.562,0.4728,0.403,0.4379
17.9,-0.3591,0.7697,0.5461,0.7249,0.6668,0.6959,0.489,0.6493,0.5691,0.4517,0.4003,0.426
18,-0.3471,0.7912,0.5712,0.7411,0.6744,0.7078,0.4851,0.6597,0.5724,0.4286,0.3931,0.4109
18.1,-0.3322,0.8114,0.5877,0.7531,0.6803,0.7167,0.4778,0.6654,0.5716,0.4033,0.3814,0.3923
18.2,-0.3148,0.8298,0.5944,0.7604,0.6848,0.7226,0.4671,0.6661,0.5666,0.3753,0.365,0.3702
18.3,-0.2944,0.8461,0.5916,0.7634,0.6888,0.7261,0.4533,0.6625,0.5579,0.3443,0.3448,0.3446
