Time,NAB Business TVC,NAB Business TVC,NAB Business TVC,NAB Business TVC,NAB Business TVC,NAB Business TVC,NAB Business TVC,NAB Business TVC,NAB Business TVC,NAB Business TVC,NAB Business TVC,NAB Business TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
13.7,-0.1791,0.8096,0.8389,0.7586,0.827,0.7928,0.806,0.7297,0.7678,0.7129,0.7189,0.7159
13.8,-0.1783,0.8174,0.8264,0.7671,0.8307,0.7989,0.8015,0.7321,0.7668,0.7075,0.7141,0.7108
13.9,-0.1765,0.8246,0.8149,0.7768,0.8342,0.8055,0.7989,0.7353,0.7671,0.7042,0.7109,0.7076
14,-0.1736,0.8311,0.8048,0.7875,0.8372,0.8124,0.7983,0.7395,0.7689,0.7032,0.7092,0.7062
14.1,-0.17,0.8369,0.7959,0.7989,0.8398,0.8193,0.7996,0.7445,0.7721,0.7045,0.7088,0.7067
14.2,-0.1659,0.842,0.7882,0.8109,0.842,0.8265,0.8028,0.7505,0.7767,0.7084,0.71,0.7092
14.3,-0.1609,0.8461,0.7819,0.8231,0.8437,0.8334,0.8074,0.7577,0.7826,0.715,0.7134,0.7142
14.4,-0.1545,0.8493,0.777,0.835,0.845,0.84,0.8133,0.7656,0.7895,0.7241,0.719,0.7215
14.5,-0.1466,0.8515,0.7736,0.8456,0.8458,0.8457,0.82,0.7738,0.7969,0.735,0.7261,0.7306
14.6,-0.1378,0.8524,0.7717,0.8542,0.8459,0.8501,0.8267,0.7815,0.8041,0.7469,0.734,0.7404
14.7,-0.1285,0.8523,0.7707,0.86,0.8453,0.8527,0.8329,0.7882,0.8105,0.7587,0.7419,0.7503
14.8,-0.1188,0.8516,0.7705,0.863,0.8438,0.8534,0.8379,0.7931,0.8155,0.77,0.7495,0.7598
14.9,-0.1085,0.8504,0.7707,0.8632,0.8414,0.8523,0.8413,0.7962,0.8188,0.7805,0.7567,0.7686
15,-0.0971,0.8486,0.7714,0.8608,0.8382,0.8495,0.8434,0.7975,0.8205,0.7901,0.7633,0.7767
15.1,-0.0839,0.846,0.7724,0.856,0.8343,0.8452,0.8443,0.7975,0.8209,0.7987,0.769,0.7839
15.2,-0.0691,0.8423,0.7736,0.8492,0.83,0.8396,0.8444,0.7963,0.8204,0.8063,0.7739,0.7901
15.3,-0.0532,0.8375,0.775,0.8408,0.8257,0.8332,0.8438,0.7943,0.819,0.8127,0.778,0.7954
15.4,-0.0369,0.8317,0.7767,0.8309,0.8217,0.8263,0.8425,0.7914,0.817,0.8179,0.7815,0.7997
15.5,-0.0204,0.8251,0.7785,0.8199,0.818,0.819,0.8406,0.7878,0.8142,0.8217,0.7847,0.8032
15.6,-0.0039,0.8178,0.7802,0.8082,0.8144,0.8113,0.838,0.7834,0.8107,0.824,0.7876,0.8058
15.7,0.0128,0.8102,0.7814,0.796,0.8108,0.8034,0.835,0.7783,0.8066,0.8246,0.7898,0.8072
15.8,0.0297,0.8024,0.7817,0.7841,0.8071,0.7956,0.8314,0.7724,0.8019,0.8232,0.7911,0.8071
15.9,0.0466,0.795,0.7807,0.7728,0.8034,0.7881,0.8272,0.7656,0.7964,0.8197,0.7914,0.8055
16,0.0631,0.7881,0.7783,0.7623,0.8002,0.7812,0.8225,0.7579,0.7902,0.8144,0.7906,0.8025
16.1,0.0786,0.7816,0.7747,0.7526,0.7975,0.775,0.8172,0.7494,0.7833,0.8078,0.7891,0.7985
16.2,0.0927,0.7751,0.7702,0.7436,0.7954,0.7695,0.8119,0.7406,0.7763,0.8007,0.787,0.7938
16.3,0.1047,0.7686,0.7651,0.7352,0.794,0.7646,0.8068,0.7319,0.7694,0.7936,0.7848,0.7892
16.4,0.1143,0.7621,0.7599,0.7275,0.7933,0.7604,0.8024,0.7237,0.7631,0.7874,0.7829,0.7851
16.5,0.1213,0.7559,0.7547,0.7207,0.7934,0.757,0.7988,0.7165,0.7576,0.7821,0.7817,0.7819
16.6,0.1259,0.75,0.75,0.7146,0.7942,0.7544,0.7963,0.7104,0.7534,0.778,0.7815,0.7798
16.7,0.1286,0.7441,0.7458,0.7093,0.7952,0.7523,0.7951,0.7057,0.7504,0.7747,0.7822,0.7785
16.8,0.1303,0.7378,0.7422,0.7048,0.796,0.7504,0.7951,0.7025,0.7488,0.7721,0.7837,0.7779
16.9,0.1312,0.7308,0.739,0.7008,0.796,0.7484,0.7963,0.7008,0.7485,0.7698,0.7859,0.7779
17,0.131,0.7229,0.7362,0.6971,0.7948,0.7459,0.7984,0.7003,0.7493,0.7678,0.7886,0.7782
17.1,0.1292,0.7141,0.7337,0.6933,0.7922,0.7427,0.8011,0.7011,0.7511,0.766,0.7916,0.7788
17.2,0.125,0.7047,0.7318,0.6895,0.7882,0.7388,0.8044,0.7034,0.7539,0.7643,0.7948,0.7795
17.3,0.1181,0.6946,0.7306,0.6855,0.7826,0.7341,0.8082,0.7073,0.7577,0.7625,0.7979,0.7802
17.4,0.1086,0.6837,0.7301,0.6809,0.7753,0.7281,0.8118,0.7123,0.762,0.7606,0.8008,0.7807
17.5,0.0967,0.672,0.73,0.6752,0.7657,0.7205,0.8148,0.718,0.7664,0.7582,0.8035,0.7808
17.6,0.0829,0.6597,0.7305,0.6676,0.7538,0.7107,0.8165,0.7239,0.7702,0.7553,0.8056,0.7805
17.7,0.0675,0.647,0.7312,0.6578,0.7394,0.6986,0.8167,0.7295,0.7731,0.7519,0.807,0.7795
17.8,0.0507,0.6341,0.7317,0.6456,0.7228,0.6842,0.8152,0.734,0.7746,0.7475,0.807,0.7773
17.9,0.0331,0.6207,0.7319,0.6311,0.7039,0.6675,0.8121,0.7368,0.7744,0.7425,0.8052,0.7738
18,0.0155,0.6069,0.7317,0.6146,0.6827,0.6487,0.8074,0.738,0.7727,0.7369,0.8017,0.7693
