Time,NAB Home Loan Experts in Fast Approvals 30s TVC,NAB Home Loan Experts in Fast Approvals 30s TVC,NAB Home Loan Experts in Fast Approvals 30s TVC,NAB Home Loan Experts in Fast Approvals 30s TVC,NAB Home Loan Experts in Fast Approvals 30s TVC,NAB Home Loan Experts in Fast Approvals 30s TVC,NAB Home Loan Experts in Fast Approvals 30s TVC,NAB Home Loan Experts in Fast Approvals 30s TVC,NAB Home Loan Experts in Fast Approvals 30s TVC,NAB Home Loan Experts in Fast Approvals 30s TVC,NAB Home Loan Experts in Fast Approvals 30s TVC,NAB Home Loan Experts in Fast Approvals 30s TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
16.1,-0.1806,0.4893,0.6816,0.4386,0.6328,0.5357,0.4651,0.6018,0.5334,0.4334,0.325,0.3792
16.2,-0.1602,0.5,0.6969,0.4776,0.6412,0.5594,0.4952,0.6266,0.5609,0.4076,0.3222,0.3649
16.3,-0.1339,0.5125,0.7082,0.5179,0.6491,0.5835,0.5185,0.6498,0.5841,0.3818,0.3218,0.3518
16.4,-0.1017,0.5265,0.7161,0.5593,0.6563,0.6078,0.5346,0.671,0.6028,0.3559,0.3234,0.3397
16.5,-0.0651,0.542,0.721,0.6009,0.6632,0.632,0.5437,0.6904,0.617,0.3298,0.3268,0.3283
16.6,-0.0271,0.5586,0.7238,0.6408,0.6698,0.6553,0.5459,0.7077,0.6268,0.3036,0.3314,0.3175
16.7,0.0094,0.5757,0.7247,0.6773,0.6762,0.6767,0.5413,0.7225,0.6319,0.2772,0.3361,0.3066
16.8,0.0425,0.5925,0.7236,0.7084,0.6817,0.695,0.5298,0.7341,0.632,0.2503,0.3397,0.295
16.9,0.0715,0.6082,0.7204,0.7334,0.6859,0.7097,0.5117,0.7419,0.6268,0.2225,0.341,0.2817
17,0.0965,0.6224,0.7155,0.752,0.6886,0.7203,0.4873,0.7459,0.6166,0.1936,0.3387,0.2661
17.1,0.1174,0.6351,0.7092,0.7644,0.6899,0.7272,0.4579,0.7464,0.6021,0.1644,0.3327,0.2485
17.2,0.1331,0.6458,0.7018,0.7706,0.69,0.7303,0.4255,0.7431,0.5843,0.1362,0.3239,0.2301
17.3,0.143,0.6537,0.6928,0.7704,0.6887,0.7296,0.3922,0.7356,0.5639,0.1104,0.3135,0.212
17.4,0.1467,0.6576,0.6815,0.7635,0.6853,0.7244,0.3595,0.7229,0.5412,0.0875,0.3022,0.1948
17.5,0.1445,0.6561,0.6674,0.749,0.6793,0.7142,0.328,0.7043,0.5162,0.0675,0.2898,0.1787
17.6,0.1372,0.6482,0.6509,0.727,0.6704,0.6987,0.2987,0.6803,0.4895,0.0498,0.2763,0.1631
17.7,0.1255,0.6341,0.6331,0.6989,0.6591,0.679,0.2729,0.6524,0.4627,0.0344,0.2625,0.1485
17.8,0.1111,0.6152,0.6152,0.6671,0.646,0.6566,0.2533,0.6227,0.438,0.0222,0.2506,0.1364
17.9,0.0962,0.5932,0.5983,0.6344,0.6318,0.6331,0.2421,0.5929,0.4175,0.0147,0.2427,0.1287
