Time,Subway - Santas Favourite Cookies Viewing 1 Client TVC,Subway - Santas Favourite Cookies Viewing 1 Client TVC,Subway - Santas Favourite Cookies Viewing 1 Client TVC,Subway - Santas Favourite Cookies Viewing 1 Client TVC,Subway - Santas Favourite Cookies Viewing 1 Client TVC,Subway - Santas Favourite Cookies Viewing 1 Client TVC,Subway - Santas Favourite Cookies Viewing 1 Client TVC,Subway - Santas Favourite Cookies Viewing 1 Client TVC,Subway - Santas Favourite Cookies Viewing 1 Client TVC,Subway - Santas Favourite Cookies Viewing 1 Client TVC,Subway - Santas Favourite Cookies Viewing 1 Client TVC,Subway - Santas Favourite Cookies Viewing 1 Client TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
11.9,0.0692,0.4415,0.3008,0.488,0.5948,0.5414,0.4894,0.3813,0.4354,0.2306,0.3882,0.3094
12,0.1008,0.4164,0.3026,0.4757,0.5568,0.5162,0.473,0.374,0.4235,0.2338,0.3817,0.3078
12.1,0.1304,0.3952,0.3099,0.468,0.5206,0.4943,0.458,0.3677,0.4129,0.2371,0.3781,0.3076
12.2,0.1565,0.3781,0.3219,0.4649,0.4874,0.4761,0.4449,0.3625,0.4037,0.2399,0.3764,0.3082
12.3,0.1789,0.3647,0.3376,0.4663,0.4576,0.462,0.4338,0.3586,0.3962,0.2419,0.3759,0.3089
12.4,0.1988,0.3546,0.3558,0.4723,0.4313,0.4518,0.4252,0.3558,0.3905,0.2435,0.376,0.3098
12.5,0.2174,0.3472,0.3758,0.4832,0.4084,0.4458,0.4192,0.3535,0.3863,0.2453,0.3764,0.3109
12.6,0.2349,0.3425,0.3966,0.4995,0.3888,0.4441,0.4155,0.3509,0.3832,0.2476,0.3771,0.3124
12.7,0.2502,0.3407,0.4172,0.5211,0.3727,0.4469,0.414,0.3475,0.3808,0.2506,0.3782,0.3144
12.8,0.2619,0.3414,0.4366,0.5474,0.3602,0.4538,0.4143,0.3432,0.3788,0.2539,0.3798,0.3168
12.9,0.2697,0.344,0.4545,0.5773,0.3517,0.4645,0.4161,0.3385,0.3773,0.2577,0.382,0.3198
13,0.2745,0.3484,0.4711,0.6099,0.3467,0.4783,0.419,0.3343,0.3767,0.262,0.3852,0.3236
13.1,0.2771,0.3545,0.4869,0.6444,0.3449,0.4946,0.4227,0.3312,0.377,0.2677,0.3895,0.3286
13.2,0.2777,0.3624,0.5024,0.6797,0.3456,0.5127,0.4272,0.3295,0.3783,0.2755,0.3954,0.3355
13.3,0.2755,0.3721,0.5176,0.7149,0.348,0.5314,0.4323,0.3295,0.3809,0.2865,0.4033,0.3449
13.4,0.2695,0.3832,0.5323,0.7478,0.3516,0.5497,0.4383,0.3314,0.3848,0.3013,0.4132,0.3572
13.5,0.2598,0.3954,0.5463,0.7768,0.3559,0.5663,0.4456,0.3354,0.3905,0.3198,0.4254,0.3726
13.6,0.2484,0.4089,0.5594,0.8005,0.3611,0.5808,0.4547,0.3418,0.3982,0.3416,0.4397,0.3907
13.7,0.2386,0.4244,0.5717,0.8191,0.3673,0.5932,0.4655,0.3502,0.4078,0.3664,0.4562,0.4113
13.8,0.2327,0.4426,0.5837,0.833,0.3742,0.6036,0.4775,0.3606,0.419,0.3938,0.4746,0.4342
13.9,0.2313,0.4633,0.5958,0.8432,0.3811,0.6121,0.4903,0.373,0.4317,0.4232,0.4944,0.4588
14,0.2339,0.4856,0.6085,0.8496,0.3873,0.6185,0.5038,0.3875,0.4456,0.4547,0.5153,0.485
14.1,0.2399,0.508,0.6214,0.852,0.392,0.622,0.5178,0.404,0.4609,0.488,0.5372,0.5126
14.2,0.2499,0.5291,0.6344,0.8496,0.3947,0.6221,0.5324,0.4222,0.4773,0.5226,0.5593,0.541
14.3,0.2645,0.5477,0.6474,0.8419,0.3946,0.6182,0.5469,0.4421,0.4945,0.5562,0.5808,0.5685
14.4,0.2824,0.5628,0.66,0.8292,0.3902,0.6097,0.5609,0.4639,0.5124,0.5859,0.6005,0.5932
14.5,0.3023,0.5736,0.6721,0.8127,0.3794,0.5961,0.5745,0.4878,0.5312,0.6095,0.6171,0.6133
14.6,0.3242,0.5798,0.6831,0.7937,0.3603,0.577,0.5882,0.5142,0.5512,0.6258,0.63,0.6279
14.7,0.3489,0.5807,0.6926,0.773,0.3316,0.5523,0.6024,0.543,0.5727,0.6347,0.6385,0.6366
14.8,0.3767,0.5762,0.7001,0.7509,0.2925,0.5217,0.6175,0.5739,0.5957,0.6359,0.6416,0.6387
14.9,0.406,0.5658,0.7051,0.7279,0.2426,0.4853,0.633,0.6062,0.6196,0.6292,0.6387,0.634
