Time,Nescafe Dolce Gusto Will i am Shazam TVC,Nescafe Dolce Gusto Will i am Shazam TVC,Nescafe Dolce Gusto Will i am Shazam TVC,Nescafe Dolce Gusto Will i am Shazam TVC,Nescafe Dolce Gusto Will i am Shazam TVC,Nescafe Dolce Gusto Will i am Shazam TVC,Nescafe Dolce Gusto Will i am Shazam TVC,Nescafe Dolce Gusto Will i am Shazam TVC,Nescafe Dolce Gusto Will i am Shazam TVC,Nescafe Dolce Gusto Will i am Shazam TVC,Nescafe Dolce Gusto Will i am Shazam TVC,Nescafe Dolce Gusto Will i am Shazam TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
13.3,-0.0296,0.5667,0.6677,0.6285,0.6137,0.6211,0.6905,0.664,0.6773,0.7269,0.6676,0.6972
13.4,-0.0301,0.5756,0.6668,0.6256,0.629,0.6273,0.6926,0.6668,0.6797,0.7247,0.6666,0.6956
13.5,-0.0287,0.586,0.6654,0.6223,0.6442,0.6332,0.6939,0.6689,0.6814,0.7199,0.6634,0.6917
13.6,-0.0251,0.598,0.6639,0.6196,0.6591,0.6394,0.6949,0.6707,0.6828,0.7134,0.659,0.6862
13.7,-0.019,0.6117,0.6626,0.6179,0.6737,0.6458,0.6962,0.6722,0.6842,0.7062,0.6541,0.6801
13.8,-0.0104,0.6267,0.6618,0.6177,0.6878,0.6528,0.6981,0.6736,0.6858,0.6993,0.6493,0.6743
13.9,0.0003,0.6431,0.6611,0.6192,0.7014,0.6603,0.7006,0.6746,0.6876,0.6937,0.645,0.6693
14,0.0123,0.6606,0.6603,0.6226,0.7149,0.6688,0.703,0.6752,0.6891,0.6899,0.6412,0.6656
14.1,0.0245,0.6793,0.6591,0.6285,0.7289,0.6787,0.705,0.6752,0.6901,0.6882,0.6379,0.663
14.2,0.0358,0.6989,0.6574,0.6367,0.7434,0.69,0.706,0.6747,0.6903,0.6885,0.6346,0.6616
14.3,0.0453,0.7185,0.6547,0.6471,0.7581,0.7026,0.7059,0.6736,0.6897,0.6905,0.6312,0.6609
14.4,0.0531,0.737,0.6507,0.6588,0.7725,0.7156,0.7047,0.6716,0.6881,0.694,0.6272,0.6606
14.5,0.0595,0.7535,0.6453,0.6714,0.7861,0.7287,0.7021,0.6686,0.6854,0.6985,0.6228,0.6606
14.6,0.0648,0.7676,0.6385,0.6844,0.7988,0.7416,0.698,0.6648,0.6814,0.704,0.6178,0.6609
14.7,0.0691,0.7789,0.6305,0.6977,0.8106,0.7542,0.6923,0.6603,0.6763,0.7099,0.6124,0.6611
14.8,0.0723,0.7869,0.6217,0.7105,0.821,0.7658,0.6853,0.6553,0.6703,0.7155,0.6062,0.6608
14.9,0.0745,0.7912,0.612,0.7219,0.8289,0.7754,0.6776,0.6498,0.6637,0.7198,0.5987,0.6593
15,0.0765,0.7913,0.6013,0.7309,0.8333,0.7821,0.6696,0.6435,0.6566,0.722,0.5894,0.6557
15.1,0.0794,0.7871,0.5893,0.7375,0.8334,0.7854,0.6614,0.6362,0.6488,0.7211,0.5779,0.6495
15.2,0.0842,0.7791,0.576,0.7418,0.8294,0.7856,0.6532,0.6281,0.6406,0.7166,0.564,0.6403
15.3,0.0914,0.7676,0.5615,0.7443,0.8217,0.783,0.6449,0.6193,0.6321,0.7082,0.5476,0.6279
15.4,0.1004,0.7527,0.5461,0.7449,0.8108,0.7779,0.6371,0.61,0.6235,0.6958,0.5294,0.6126
15.5,0.1104,0.7345,0.5305,0.7431,0.7971,0.7701,0.6301,0.6006,0.6154,0.6798,0.5101,0.5949
15.6,0.1209,0.7135,0.5153,0.7387,0.7811,0.7599,0.6245,0.5916,0.608,0.6608,0.491,0.5759
15.7,0.1313,0.691,0.5015,0.732,0.7639,0.7479,0.6203,0.5836,0.6019,0.6397,0.4732,0.5565
15.8,0.1414,0.6683,0.4897,0.7241,0.747,0.7356,0.6176,0.5773,0.5974,0.6173,0.4574,0.5374
15.9,0.1513,0.6466,0.4803,0.716,0.7316,0.7238,0.6163,0.573,0.5947,0.5941,0.444,0.5191
16,0.1606,0.6265,0.4734,0.7082,0.7182,0.7132,0.6162,0.5709,0.5935,0.571,0.433,0.502
16.1,0.1683,0.6084,0.4687,0.7003,0.7066,0.7035,0.617,0.5708,0.5939,0.5488,0.4246,0.4867
16.2,0.1735,0.5926,0.4661,0.6923,0.6967,0.6945,0.6183,0.5728,0.5956,0.529,0.4194,0.4742
16.3,0.1755,0.5794,0.4655,0.6844,0.6884,0.6864,0.6201,0.5767,0.5984,0.5123,0.4175,0.4649
16.4,0.1744,0.5686,0.4666,0.6768,0.6815,0.6792,0.6221,0.5822,0.6021,0.4991,0.4192,0.4592
16.5,0.1709,0.5601,0.4696,0.6693,0.6758,0.6725,0.6239,0.5886,0.6063,0.4891,0.4242,0.4566
16.6,0.1655,0.5535,0.4744,0.6619,0.6705,0.6662,0.6254,0.5952,0.6103,0.4815,0.4322,0.4569
16.7,0.1586,0.5487,0.4813,0.6546,0.6654,0.66,0.6265,0.6015,0.614,0.4761,0.4429,0.4595
16.8,0.1503,0.5455,0.4901,0.6477,0.6608,0.6542,0.6274,0.6076,0.6175,0.4731,0.4563,0.4647
16.9,0.1408,0.5442,0.5011,0.6414,0.6569,0.6491,0.6287,0.6138,0.6213,0.4727,0.4722,0.4724
17,0.1305,0.5448,0.5146,0.6357,0.6539,0.6448,0.631,0.6201,0.6255,0.4751,0.4904,0.4827
17.1,0.1195,0.5471,0.5303,0.6306,0.652,0.6413,0.6341,0.6261,0.6301,0.4801,0.5101,0.4951
17.2,0.1072,0.5505,0.5481,0.6258,0.6511,0.6384,0.6376,0.6314,0.6345,0.4877,0.5306,0.5092
17.3,0.0929,0.5542,0.5673,0.6209,0.651,0.6359,0.6403,0.6356,0.6379,0.4974,0.551,0.5242
17.4,0.0765,0.558,0.5873,0.6155,0.6515,0.6335,0.6416,0.6383,0.6399,0.508,0.5702,0.5391
17.5,0.0587,0.5613,0.6075,0.6093,0.6521,0.6307,0.6413,0.6396,0.6405,0.5189,0.5874,0.5532
17.6,0.0404,0.5639,0.6271,0.602,0.6519,0.627,0.64,0.6394,0.6397,0.5292,0.6022,0.5657
17.7,0.0226,0.5656,0.6457,0.5938,0.6507,0.6223,0.6383,0.6381,0.6382,0.5388,0.6144,0.5766
17.8,0.0058,0.567,0.6626,0.5854,0.6487,0.617,0.6366,0.6357,0.6361,0.5476,0.6243,0.5859
17.9,-0.0101,0.5687,0.6777,0.5775,0.6464,0.6119,0.635,0.6325,0.6338,0.5554,0.6322,0.5938
18,-0.0251,0.5715,0.6907,0.5705,0.6441,0.6073,0.6334,0.6287,0.6311,0.5619,0.6382,0.6001
18.1,-0.0389,0.5757,0.7011,0.5644,0.6417,0.6031,0.6318,0.6244,0.6281,0.567,0.6423,0.6047
