Time,ANZ3643C - Healthy Homes Client TVC,ANZ3643C - Healthy Homes Client TVC,ANZ3643C - Healthy Homes Client TVC,ANZ3643C - Healthy Homes Client TVC,ANZ3643C - Healthy Homes Client TVC,ANZ3643C - Healthy Homes Client TVC,ANZ3643C - Healthy Homes Client TVC,ANZ3643C - Healthy Homes Client TVC,ANZ3643C - Healthy Homes Client TVC,ANZ3643C - Healthy Homes Client TVC,ANZ3643C - Healthy Homes Client TVC,ANZ3643C - Healthy Homes Client TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
16.5,0.2139,0.533,0.3899,0.7272,0.4535,0.5903,0.5172,0.5449,0.5311,0.4368,0.4486,0.4427
16.6,0.2164,0.5393,0.4027,0.7329,0.495,0.614,0.5175,0.5449,0.5312,0.4561,0.4673,0.4617
16.7,0.2231,0.5459,0.4148,0.7352,0.5358,0.6355,0.5184,0.5428,0.5306,0.4753,0.4846,0.48
16.8,0.233,0.5523,0.4258,0.7326,0.5734,0.653,0.5194,0.5389,0.5292,0.4928,0.4997,0.4962
16.9,0.2448,0.5574,0.4357,0.7244,0.6058,0.6651,0.5198,0.5334,0.5266,0.5071,0.5125,0.5098
17,0.2567,0.5608,0.4441,0.7103,0.6317,0.671,0.5187,0.5265,0.5226,0.5183,0.5232,0.5208
17.1,0.2662,0.5625,0.4508,0.6907,0.6504,0.6705,0.5157,0.5184,0.517,0.527,0.532,0.5295
17.2,0.271,0.5629,0.4553,0.6659,0.6621,0.664,0.5106,0.5095,0.51,0.5338,0.5395,0.5366
17.3,0.2698,0.5625,0.4577,0.6364,0.6677,0.6521,0.5039,0.5003,0.5021,0.5387,0.5455,0.5421
17.4,0.2625,0.5612,0.4582,0.6032,0.6685,0.6359,0.4959,0.4915,0.4937,0.5415,0.5501,0.5458
17.5,0.2495,0.5591,0.457,0.5674,0.6661,0.6168,0.4875,0.4838,0.4857,0.5427,0.5532,0.548
17.6,0.231,0.5565,0.4538,0.5303,0.6622,0.5963,0.4793,0.4777,0.4785,0.5428,0.5545,0.5487
17.7,0.2076,0.5537,0.4481,0.4932,0.658,0.5756,0.4715,0.4734,0.4725,0.5422,0.5543,0.5482
17.8,0.18,0.5507,0.4396,0.4567,0.6542,0.5555,0.4642,0.4711,0.4677,0.5412,0.5524,0.5468
17.9,0.1481,0.5472,0.428,0.4212,0.6507,0.536,0.4574,0.4704,0.4639,0.5399,0.5489,0.5444
18,0.1126,0.5423,0.4136,0.387,0.6471,0.517,0.4509,0.4707,0.4608,0.5384,0.5443,0.5414
18.1,0.0745,0.536,0.3965,0.3543,0.643,0.4986,0.4447,0.4711,0.4579,0.5365,0.5391,0.5378
18.2,0.0349,0.5285,0.3771,0.3235,0.6384,0.4809,0.4384,0.4709,0.4546,0.5339,0.5337,0.5338
18.3,-0.0052,0.5201,0.3556,0.2941,0.6338,0.4639,0.4319,0.4702,0.451,0.5306,0.5282,0.5294
18.4,-0.0452,0.5115,0.3324,0.2659,0.6292,0.4475,0.4254,0.4693,0.4474,0.5266,0.5225,0.5246
18.5,-0.0842,0.5029,0.3083,0.2385,0.625,0.4317,0.4191,0.4687,0.4439,0.5223,0.517,0.5196
