Time,Pandora - Know what its Like with Halle Bailey 15 TVC,Pandora - Know what its Like with Halle Bailey 15 TVC,Pandora - Know what its Like with Halle Bailey 15 TVC,Pandora - Know what its Like with Halle Bailey 15 TVC,Pandora - Know what its Like with Halle Bailey 15 TVC,Pandora - Know what its Like with Halle Bailey 15 TVC,Pandora - Know what its Like with Halle Bailey 15 TVC,Pandora - Know what its Like with Halle Bailey 15 TVC,Pandora - Know what its Like with Halle Bailey 15 TVC,Pandora - Know what its Like with Halle Bailey 15 TVC,Pandora - Know what its Like with Halle Bailey 15 TVC,Pandora - Know what its Like with Halle Bailey 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
13.4,0.1006,0.6304,0.795,0.5738,0.6303,0.602,0.4249,1.012,0.7184,0.6602,0.6496,0.6549
13.5,0.083,0.6118,0.8576,0.5424,0.6037,0.5731,0.4299,1.0296,0.7297,0.7302,0.6971,0.7137
13.6,0.0649,0.5945,0.9273,0.5143,0.5785,0.5464,0.4403,1.0425,0.7414,0.8077,0.7464,0.7771
13.7,0.0459,0.5787,1.0024,0.4905,0.5553,0.5229,0.4573,1.0527,0.755,0.8897,0.7965,0.8431
13.8,0.0247,0.5643,1.0802,0.4711,0.5345,0.5028,0.481,1.0623,0.7717,0.9718,0.8468,0.9093
13.9,0.0009,0.5511,1.157,0.4558,0.5164,0.4861,0.5105,1.073,0.7917,1.0496,0.8966,0.9731
14,-0.0255,0.5392,1.2291,0.4444,0.5011,0.4727,0.5434,1.0853,0.8144,1.1194,0.9449,1.0322
14.1,-0.054,0.5285,1.2942,0.4367,0.4884,0.4626,0.5775,1.0989,0.8382,1.1792,0.9902,1.0847
14.2,-0.084,0.5191,1.3512,0.4325,0.4787,0.4556,0.6106,1.1127,0.8617,1.2275,1.0311,1.1293
14.3,-0.1152,0.511,1.3998,0.4318,0.4721,0.4519,0.6414,1.1258,0.8836,1.2634,1.0669,1.1652
14.4,-0.1478,0.5039,1.4406,0.4346,0.4682,0.4514,0.6683,1.1371,0.9027,1.287,1.0976,1.1923
14.5,-0.1819,0.4971,1.4745,0.44,0.4667,0.4533,0.6897,1.1457,0.9177,1.2989,1.1234,1.2112
14.6,-0.2174,0.4902,1.502,0.4464,0.4671,0.4567,0.704,1.151,0.9275,1.2996,1.1439,1.2217
14.7,-0.2537,0.4829,1.5227,0.4527,0.4695,0.4611,0.7107,1.153,0.9318,1.2899,1.1577,1.2238
14.8,-0.2897,0.4762,1.5351,0.4586,0.4745,0.4665,0.7098,1.1519,0.9308,1.27,1.1639,1.2169
14.9,-0.3252,0.4707,1.5374,0.4644,0.4818,0.4731,0.7023,1.1469,0.9246,1.2395,1.1615,1.2005
